player,team,division,salary,league
Pierce Johnson,Cincinnati Reds,NL Central,5500000,MLB
Phil Maton,Chicago Cubs,NL Central,5500000,MLB
Keibert Ruiz,Washington Nationals,NL East,5380000,MLB
Lars Nootbaar,St. Louis Cardinals,NL Central,5350000,MLB
Lane Thomas,Kansas City Royals,AL Central,5250000,MLB
Jose Trevino,Cincinnati Reds,NL Central,5250000,MLB
Shea Langeliers,Athletics,AL West,5250000,MLB
Ezequiel Tovar,Colorado Rockies,NL West,5210000,MLB
Jo Adell,Los Angeles Angels,AL West,5200000,MLB
Brandon Marsh,Philadelphia Phillies,NL East,5200000,MLB
Bailey Ober,Minnesota Twins,AL Central,5200000,MLB
VÃ­ctor Robles,Seattle Mariners,AL West,5120000,MLB
Tomoyuki Sugano,Colorado Rockies,NL West,5100000,MLB
Carson Kelly,Chicago Cubs,NL Central,5000000,MLB
Austin Hays,Chicago White Sox,AL Central,5000000,MLB
Kirby Yates,Los Angeles Angels,AL West,5000000,MLB
Riley Greene,Detroit Tigers,AL Central,5000000,MLB
Anthony Kay,Chicago White Sox,AL Central,5000000,MLB
Nick Lodolo,Cincinnati Reds,NL Central,4720000,MLB
Trevor Megill,Milwaukee Brewers,NL Central,4700000,MLB
Ernie Clement,Toronto Blue Jays,AL East,4600000,MLB
Cole Ragans,Kansas City Royals,AL Central,4580000,MLB
Sean Newcomb,Chicago White Sox,AL Central,4500000,MLB
Enrique HernÃ¡ndez,Los Angeles Dodgers,NL West,4500000,MLB
Caleb Ferguson,Cincinnati Reds,NL Central,4500000,MLB
Yainer Diaz,Houston Astros,AL West,4500000,MLB
Clarke Schmidt,New York Yankees,AL East,4500000,MLB
Gavin Sheets,San Diego Padres,NL West,4500000,MLB
Trevor Larnach,Minnesota Twins,AL Central,4470000,MLB
Edward Cabrera,Chicago Cubs,NL Central,4450000,MLB
Tanner Bibee,Cleveland Guardians,AL Central,4400000,MLB
Edmundo Sosa,Philadelphia Phillies,NL East,4400000,MLB
Eric Lauer,Toronto Blue Jays,AL East,4400000,MLB
Colt Keith,Detroit Tigers,AL Central,4330000,MLB
JoJo Romero,St. Louis Cardinals,NL Central,4260000,MLB
CJ Abrams,Washington Nationals,NL East,4200000,MLB
Vinnie Pasquantino,Kansas City Royals,AL Central,4200000,MLB
Zach McKinstry,Detroit Tigers,AL Central,4200000,MLB
Maikel Garcia,Kansas City Royals,AL Central,4200000,MLB
Brice Turang,Milwaukee Brewers,NL Central,4150000,MLB
Zach Neto,Los Angeles Angels,AL West,4150000,MLB
Tanner Houck,Boston Red Sox,AL East,4099999,MLB
Spencer Torkelson,Detroit Tigers,AL Central,4080000,MLB
Shawn Armstrong,Cleveland Guardians,AL Central,4000000,MLB
Drew Pomeranz,Los Angeles Angels,AL West,4000000,MLB
YoÃ¡n Moncada,Los Angeles Angels,AL West,4000000,MLB
Chris Martin,Texas Rangers,AL West,4000000,MLB
Spencer Steer,Cincinnati Reds,NL Central,4000000,MLB
Paul Goldschmidt,New York Yankees,AL East,4000000,MLB
Mickey Moniak,Colorado Rockies,NL West,4000000,MLB
Caleb Thielbar,Chicago Cubs,NL Central,4000000,MLB
Chris Paddack,Miami Marlins,NL East,4000000,MLB
Andre Pallante,St. Louis Cardinals,NL Central,4000000,MLB
Mason Miller,San Diego Padres,NL West,4000000,MLB
Will Vest,Detroit Tigers,AL Central,3950000,MLB
Ryan Thompson,Arizona Diamondbacks,NL West,3950000,MLB
AdriÃ¡n MorejÃ³n,San Diego Padres,NL West,3900000,MLB
Tyrone Taylor,New York Mets,NL East,3800000,MLB
TJ Friedl,Cincinnati Reds,NL Central,3800000,MLB
Hoby Milner,Chicago Cubs,NL Central,3750000,MLB
John Schreiber,Kansas City Royals,AL Central,3710000,MLB
Shane McClanahan,Tampa Bay Rays,AL East,3600000,MLB
Bailey Falter,Kansas City Royals,AL Central,3600000,MLB
Griffin Jax,Tampa Bay Rays,AL East,3560000,MLB
Alex Vesia,Los Angeles Dodgers,NL West,3550000,MLB
Kyle Bradish,Baltimore Orioles,AL East,3550000,MLB
Jake Meyers,Houston Astros,AL West,3550000,MLB
Luis Rengifo,Milwaukee Brewers,NL Central,3500000,MLB
Ryne Stanek,St. Louis Cardinals,NL Central,3500000,MLB
Cristopher SÃ¡nchez,Philadelphia Phillies,NL East,3500000,MLB
Dennis Santana,Pittsburgh Pirates,NL Central,3500000,MLB
Shane Baz,Baltimore Orioles,AL East,3500000,MLB
Anthony Volpe,New York Yankees,AL East,3480000,MLB
Lawrence Butler,Athletics,AL West,3430000,MLB
Brandon Pfaadt,Arizona Diamondbacks,NL West,3400000,MLB
Chas McCormick,Chicago Cubs,NL Central,3400000,MLB
Mike Tauchman,New York Mets,NL East,3400000,MLB
Oneil Cruz,Pittsburgh Pirates,NL Central,3300000,MLB
Alec Burleson,St. Louis Cardinals,NL Central,3300000,MLB
Kerry Carpenter,Detroit Tigers,AL Central,3270000,MLB
Matt Vierling,Detroit Tigers,AL Central,3230000,MLB
Josh Smith,Texas Rangers,AL West,3230000,MLB
Jake Burger,Texas Rangers,AL West,3200000,MLB
A.J. Puk,Arizona Diamondbacks,NL West,3100000,MLB
Brenton Doyle,Colorado Rockies,NL West,3100000,MLB
Jake Rogers,Detroit Tigers,AL Central,3050000,MLB
Ryan Pepiot,Tampa Bay Rays,AL East,3020000,MLB
Jake Fraley,Tampa Bay Rays,AL East,3000000,MLB
Zack Littell,Washington Nationals,NL East,3000000,MLB
Max Scherzer,Toronto Blue Jays,AL East,3000000,MLB
Tyler Kinley,Atlanta Braves,NL East,3000000,MLB
Ryne Nelson,Arizona Diamondbacks,NL West,3000000,MLB
Tim Hill,New York Yankees,AL East,3000000,MLB
Keegan Akin,Baltimore Orioles,AL East,2980000,MLB
Josh Jung,Texas Rangers,AL West,2900000,MLB
JosÃ© Soriano,Los Angeles Angels,AL West,2900000,MLB
Santiago Espinal,Los Angeles Dodgers,NL West,2900000,MLB
Royce Lewis,Minnesota Twins,AL Central,2850000,MLB
Mark Leiter Jr.,Athletics,AL West,2850000,MLB
Anthony Bender,Miami Marlins,NL East,2810000,MLB
Jake Irvin,Washington Nationals,NL East,2800000,MLB
Brusdar Graterol,Los Angeles Dodgers,NL West,2800000,MLB
Matthew Liberatore,St. Louis Cardinals,NL Central,2800000,MLB
JP Sears,San Diego Padres,NL West,2750000,MLB
Jakob Junis,Texas Rangers,AL West,2750000,MLB
Kutter Crawford,Boston Red Sox,AL East,2750000,MLB
Kevin Ginkel,Arizona Diamondbacks,NL West,2750000,MLB
Ben Lively,Cleveland Guardians,AL Central,2700000,MLB
Kyle Isbel,Kansas City Royals,AL Central,2700000,MLB
Jake Bauers,Milwaukee Brewers,NL Central,2700000,MLB
Nolan Gorman,St. Louis Cardinals,NL Central,2650000,MLB
Logan O'Hoppe,Los Angeles Angels,AL West,2620000,MLB
Roman Anthony,Boston Red Sox,AL East,2620000,MLB
Reid Detmers,Los Angeles Angels,AL West,2620000,MLB
Josh Lowe,Los Angeles Angels,AL West,2600000,MLB
Gabriel Moreno,Arizona Diamondbacks,NL West,2550000,MLB
Nick Fortes,Tampa Bay Rays,AL East,2540000,MLB
Joey Bart,Pittsburgh Pirates,NL Central,2530000,MLB
Tylor Megill,New York Mets,NL East,2500000,MLB
Trent Thornton,Chicago Cubs,NL Central,2500000,MLB
Amed Rosario,New York Yankees,AL East,2500000,MLB
Ryan Yarbrough,New York Yankees,AL East,2500000,MLB
Ryan Feltner,Colorado Rockies,NL West,2450000,MLB
Taylor Walls,Tampa Bay Rays,AL East,2450000,MLB
Bryce Miller,Seattle Mariners,AL West,2440000,MLB
Tyler Wells,Baltimore Orioles,AL East,2440000,MLB
Justin Martinez,Arizona Diamondbacks,NL West,2400000,MLB
Francisco Alvarez,New York Mets,NL East,2400000,MLB
Steven Okert,Houston Astros,AL West,2330000,MLB
Brock Burke,Cincinnati Reds,NL Central,2330000,MLB
Matt McLain,Cincinnati Reds,NL Central,2300000,MLB
Luis Torrens,New York Mets,NL East,2270000,MLB
Pavin Smith,Arizona Diamondbacks,NL West,2250000,MLB
Joel Payamps,Atlanta Braves,NL East,2250000,MLB
Miles Mikolas,Washington Nationals,NL East,2250000,MLB
Kristian Campbell,Boston Red Sox,AL East,2250000,MLB
FÃ©lix Bautista,Baltimore Orioles,AL East,2250000,MLB
Ceddanne Rafaela,Boston Red Sox,AL East,2250000,MLB
Dylan Lee,Atlanta Braves,NL East,2200000,MLB
Luis Gil,New York Yankees,AL East,2160000,MLB
Gabe Speier,Seattle Mariners,AL West,2120000,MLB
Jackson Merrill,San Diego Padres,NL West,2110000,MLB
Freddy Fermin,San Diego Padres,NL West,2100000,MLB
Jorge Alcala,Toronto Blue Jays,AL East,2100000,MLB
Garrett Cleavinger,Tampa Bay Rays,AL East,2100000,MLB
Luke Raley,Seattle Mariners,AL West,2049999,MLB
Taylor Rogers,Minnesota Twins,AL Central,2000000,MLB
Christopher Morel,Miami Marlins,NL East,2000000,MLB
JosÃ© Caballero,New York Yankees,AL East,2000000,MLB
Jason Foley,San Francisco Giants,NL West,2000000,MLB
Scott Barlow,Athletics,AL West,2000000,MLB
Jordan Romano,Los Angeles Angels,AL West,2000000,MLB
Nolan Jones,Cleveland Guardians,AL Central,2000000,MLB
Nick Sandlin,Los Angeles Angels,AL West,2000000,MLB
Carlos Santana,Arizona Diamondbacks,NL West,2000000,MLB
Paul Blackburn,New York Yankees,AL East,2000000,MLB
Alek Thomas,Arizona Diamondbacks,NL West,1960000,MLB
Alek Manoah,Los Angeles Angels,AL West,1950000,MLB
Nick Mears,Kansas City Royals,AL Central,1900000,MLB
Kolby Allard,Cleveland Guardians,AL Central,1900000,MLB
JT Brubaker,San Francisco Giants,NL West,1820000,MLB
Kyle Wright,Chicago Cubs,NL Central,1800000,MLB
Tony Santillan,Cincinnati Reds,NL Central,1800000,MLB
Javier Assad,Chicago Cubs,NL Central,1800000,MLB
Calvin Faucher,Miami Marlins,NL East,1800000,MLB
Graham Ashcraft,Cincinnati Reds,NL Central,1750000,MLB
Luis Garcia,New York Mets,NL East,1750000,MLB
Tim Mayza,Philadelphia Phillies,NL East,1750000,MLB
Will Benson,Cincinnati Reds,NL Central,1730000,MLB
Justin Topa,Minnesota Twins,AL Central,1700000,MLB
Anthony Banda,Minnesota Twins,AL Central,1620000,MLB
Samuel Basallo,Baltimore Orioles,AL East,1620000,MLB
Triston Casas,Boston Red Sox,AL East,1610000,MLB
Alex Call,Los Angeles Dodgers,NL West,1600000,MLB
Jalen Beeks,Texas Rangers,AL West,1600000,MLB
Enyel De Los Santos,Houston Astros,AL West,1600000,MLB
Yennier Cano,Baltimore Orioles,AL East,1600000,MLB
Tanner Rainey,Detroit Tigers,AL Central,1600000,MLB
Romy Gonzalez,Boston Red Sox,AL East,1600000,MLB
Michael Massey,Kansas City Royals,AL Central,1570000,MLB
Tyler Holton,Detroit Tigers,AL Central,1570000,MLB
Taylor Clarke,Arizona Diamondbacks,NL West,1550000,MLB
Matt Brash,Seattle Mariners,AL West,1550000,MLB
Johan Oviedo,Boston Red Sox,AL East,1550000,MLB
Jimmy Herget,Colorado Rockies,NL West,1550000,MLB
Braxton Garrett,Miami Marlins,NL East,1530000,MLB
Steven Wilson,Tampa Bay Rays,AL East,1520000,MLB
Edwin Uceta,Tampa Bay Rays,AL East,1520000,MLB
Jake McCarthy,Colorado Rockies,NL West,1520000,MLB
Tyler Freeman,Colorado Rockies,NL West,1520000,MLB
Paul Sewald,Arizona Diamondbacks,NL West,1500000,MLB
Jonah Heim,Atlanta Braves,NL East,1500000,MLB
Riley Adams,Washington Nationals,NL East,1500000,MLB
RamÃ³n UrÃ­as,St. Louis Cardinals,NL Central,1500000,MLB
Miguel Andujar,San Diego Padres,NL West,1500000,MLB
MJ Melendez,New York Mets,NL East,1500000,MLB
Gary SÃ¡nchez,Milwaukee Brewers,NL Central,1500000,MLB
Colin Holderman,Cleveland Guardians,AL Central,1500000,MLB
Joey Lucchesi,Los Angeles Angels,AL West,1500000,MLB
JosÃ© Urquidy,Pittsburgh Pirates,NL Central,1500000,MLB
John King,Miami Marlins,NL East,1500000,MLB
Jacob Webb,Chicago Cubs,NL Central,1500000,MLB
Dylan Carlson,Chicago Cubs,NL Central,1500000,MLB
Fernando Cruz,New York Yankees,AL East,1450000,MLB
Jacob Wilson,Athletics,AL West,1430000,MLB
GÃ©nesis Cabrera,Philadelphia Phillies,NL East,1400000,MLB
JJ Bleday,Cincinnati Reds,NL Central,1400000,MLB
Nick Allen,Houston Astros,AL West,1400000,MLB
Ildemaro Vargas,Arizona Diamondbacks,NL West,1400000,MLB
Sam Hentges,San Francisco Giants,NL West,1400000,MLB
Connor Wong,Boston Red Sox,AL East,1380000,MLB
David Fry,Cleveland Guardians,AL Central,1380000,MLB
Ezequiel Duran,Texas Rangers,AL West,1380000,MLB
Ryan Weathers,New York Yankees,AL East,1350000,MLB
Josiah Gray,Washington Nationals,NL East,1350000,MLB
Nick Madrigal,Los Angeles Angels,AL West,1350000,MLB
Alex Jackson,Minnesota Twins,AL Central,1350000,MLB
Reed Garrett,New York Mets,NL East,1300000,MLB
Brock Stewart,Los Angeles Dodgers,NL West,1300000,MLB
Tyler Soderstrom,Athletics,AL West,1290000,MLB
Bryan Baker,Tampa Bay Rays,AL East,1270000,MLB
Jordan Montgomery,Texas Rangers,AL West,1250000,MLB
Sam Haggerty,Texas Rangers,AL West,1250000,MLB
Ben Rortvedt,New York Mets,NL East,1250000,MLB
Brent Suter,Los Angeles Angels,AL West,1250000,MLB
Tyler Austin,Chicago Cubs,NL Central,1250000,MLB
Jack Suwinski,Los Angeles Dodgers,NL West,1250000,MLB
Tyler Heineman,Toronto Blue Jays,AL East,1240000,MLB
Justin Lawrence,Pittsburgh Pirates,NL Central,1230000,MLB
Andy IbÃ¡Ã±ez,Athletics,AL West,1200000,MLB
Tanner Banks,Philadelphia Phillies,NL East,1200000,MLB
Oswaldo Cabrera,New York Yankees,AL East,1200000,MLB
John Curtiss,Arizona Diamondbacks,NL West,1200000,MLB
Carson Fulmer,Pittsburgh Pirates,NL Central,1200000,MLB
Reese McGuire,Chicago White Sox,AL Central,1200000,MLB
Beau Brieske,Detroit Tigers,AL Central,1160000,MLB
Tyler Alexander,Texas Rangers,AL West,1120000,MLB
Eli Morgan,Kansas City Royals,AL Central,1100000,MLB
Cole Sands,Minnesota Twins,AL Central,1100000,MLB
Josh Sborz,Texas Rangers,AL West,1100000,MLB
Tayler Saucedo,Los Angeles Angels,AL West,1100000,MLB
Austin Wynns,Athletics,AL West,1100000,MLB
Anthony Misiewicz,Cincinnati Reds,NL Central,1100000,MLB
Angel Zerpa,Milwaukee Brewers,NL Central,1090000,MLB
Cole Sulser,Tampa Bay Rays,AL East,1050000,MLB
Huascar BrazobÃ¡n,New York Mets,NL East,1050000,MLB
Daniel Lynch IV,Kansas City Royals,AL Central,1020000,MLB
Jorge Alfaro,Kansas City Royals,AL Central,1000000,MLB
Mason Thompson,Texas Rangers,AL West,1000000,MLB
Jorge Mateo,Atlanta Braves,NL East,1000000,MLB
Austin Slater,Miami Marlins,NL East,1000000,MLB
Matt Festa,Cleveland Guardians,AL Central,1000000,MLB
Jake Bird,New York Yankees,AL East,1000000,MLB
Starling Marte,Kansas City Royals,AL Central,1000000,MLB
Griffin Canning,San Diego Padres,NL West,1000000,MLB
GermÃ¡n MÃ¡rquez,San Diego Padres,NL West,1000000,MLB
Shelby Miller,Chicago Cubs,NL Central,1000000,MLB
Danny Coulombe,Boston Red Sox,AL East,1000000,MLB
Andrew Knizner,Colorado Rockies,NL West,1000000,MLB
